territory_id,oblast,year,age_group,sex,locality,pop
r-drahichynski,BY-BR,2019,35-39,f,urban,652
r-drahichynski,BY-BR,2019,35-39,m,rural,479
r-drahichynski,BY-BR,2019,35-39,m,urban,601
r-drahichynski,BY-BR,2019,40-44,f,rural,686
r-drahichynski,BY-BR,2019,40-44,f,urban,622
r-drahichynski,BY-BR,2019,40-44,m,rural,636
r-drahichynski,BY-BR,2019,40-44,m,urban,584
r-drahichynski,BY-BR,2019,45-49,f,rural,817
r-drahichynski,BY-BR,2019,45-49,f,urban,602
r-drahichynski,BY-BR,2019,45-49,m,rural,832
r-drahichynski,BY-BR,2019,45-49,m,urban,514
r-drahichynski,BY-BR,2019,50-54,f,rural,771
r-drahichynski,BY-BR,2019,50-54,f,urban,590
r-drahichynski,BY-BR,2019,50-54,m,rural,867
r-drahichynski,BY-BR,2019,50-54,m,urban,482
r-drahichynski,BY-BR,2019,55-59,f,rural,778
r-drahichynski,BY-BR,2019,55-59,f,urban,767
r-drahichynski,BY-BR,2019,55-59,m,rural,868
r-drahichynski,BY-BR,2019,55-59,m,urban,594
r-drahichynski,BY-BR,2019,60-64,f,rural,835
r-drahichynski,BY-BR,2019,60-64,f,urban,719
r-drahichynski,BY-BR,2019,60-64,m,rural,744
r-drahichynski,BY-BR,2019,60-64,m,urban,528
r-drahichynski,BY-BR,2019,65-69,f,rural,647
r-drahichynski,BY-BR,2019,65-69,f,urban,508
r-drahichynski,BY-BR,2019,65-69,m,rural,482
r-drahichynski,BY-BR,2019,65-69,m,urban,389
r-drahichynski,BY-BR,2019,70-74,f,rural,637
r-drahichynski,BY-BR,2019,70-74,f,urban,329
r-drahichynski,BY-BR,2019,70-74,m,rural,345
r-drahichynski,BY-BR,2019,70-74,m,urban,196
r-drahichynski,BY-BR,2019,75-79,f,rural,714
r-drahichynski,BY-BR,2019,75-79,f,urban,241
r-drahichynski,BY-BR,2019,75-79,m,rural,276
r-drahichynski,BY-BR,2019,75-79,m,urban,100
r-drahichynski,BY-BR,2019,80 и старше,f,rural,1444
r-drahichynski,BY-BR,2019,80 и старше,f,urban,388
r-drahichynski,BY-BR,2019,80 и старше,m,rural,428
r-drahichynski,BY-BR,2019,80 и старше,m,urban,135
r-hancavicki,BY-BR,2019,0-4,f,rural,270
r-hancavicki,BY-BR,2019,0-4,f,urban,407
r-hancavicki,BY-BR,2019,0-4,m,rural,278
r-hancavicki,BY-BR,2019,0-4,m,urban,433
r-hancavicki,BY-BR,2019,5-9,f,rural,281
r-hancavicki,BY-BR,2019,5-9,f,urban,485
r-hancavicki,BY-BR,2019,5-9,m,rural,304
r-hancavicki,BY-BR,2019,5-9,m,urban,538
r-hancavicki,BY-BR,2019,10-14,f,rural,294
r-hancavicki,BY-BR,2019,10-14,f,urban,471
r-hancavicki,BY-BR,2019,10-14,m,rural,367
r-hancavicki,BY-BR,2019,10-14,m,urban,525
r-hancavicki,BY-BR,2019,15-19,f,rural,183
r-hancavicki,BY-BR,2019,15-19,f,urban,219
r-hancavicki,BY-BR,2019,15-19,m,rural,211
r-hancavicki,BY-BR,2019,15-19,m,urban,289
r-hancavicki,BY-BR,2019,20-24,f,rural,218
r-hancavicki,BY-BR,2019,20-24,f,urban,272
r-hancavicki,BY-BR,2019,20-24,m,rural,260
r-hancavicki,BY-BR,2019,20-24,m,urban,225
r-hancavicki,BY-BR,2019,25-29,f,rural,218
r-hancavicki,BY-BR,2019,25-29,f,urban,405
r-hancavicki,BY-BR,2019,25-29,m,rural,317
r-hancavicki,BY-BR,2019,25-29,m,urban,391
r-hancavicki,BY-BR,2019,30-34,f,rural,263
r-hancavicki,BY-BR,2019,30-34,f,urban,535
r-hancavicki,BY-BR,2019,30-34,m,rural,305
r-hancavicki,BY-BR,2019,30-34,m,urban,548
r-hancavicki,BY-BR,2019,35-39,f,rural,295
r-hancavicki,BY-BR,2019,35-39,f,urban,509
r-hancavicki,BY-BR,2019,35-39,m,rural,326
r-hancavicki,BY-BR,2019,35-39,m,urban,497
r-hancavicki,BY-BR,2019,40-44,f,rural,438
r-hancavicki,BY-BR,2019,40-44,f,urban,642
r-hancavicki,BY-BR,2019,40-44,m,rural,458
r-hancavicki,BY-BR,2019,40-44,m,urban,550
r-hancavicki,BY-BR,2019,45-49,f,rural,474
r-hancavicki,BY-BR,2019,45-49,f,urban,526
r-hancavicki,BY-BR,2019,45-49,m,rural,549
r-hancavicki,BY-BR,2019,45-49,m,urban,473
r-hancavicki,BY-BR,2019,50-54,f,rural,511
r-hancavicki,BY-BR,2019,50-54,f,urban,547
r-hancavicki,BY-BR,2019,50-54,m,rural,585
r-hancavicki,BY-BR,2019,50-54,m,urban,405
r-hancavicki,BY-BR,2019,55-59,f,rural,511
r-hancavicki,BY-BR,2019,55-59,f,urban,593
r-hancavicki,BY-BR,2019,55-59,m,rural,572
r-hancavicki,BY-BR,2019,55-59,m,urban,492
