scenario,city_id,epoch,seed_found,footprint_cells,built_dyn_m2,perimeter_edges,merged_with
t05_c0,c-slonim,1995,1,788,1614969.0,642,
t05_c0,c-sluck,1995,1,1704,3711640.0,1208,
t05_c0,c-smalavichy,1995,1,582,1101728.0,474,
t05_c0,c-smarhon,1995,1,892,1596104.0,822,
t05_c0,c-staryja-darohi,1995,1,349,762581.0,222,
t05_c0,c-stolin,1995,1,668,1241181.0,560,
t05_c0,c-stoubcy,1995,1,595,1206785.0,438,
t05_c0,c-svietlahorsk,1995,1,1641,3765458.0,1410,
t05_c0,c-talachyn,1995,1,292,476880.0,238,
t05_c0,c-uzda,1995,1,287,428225.0,314,
t05_c0,c-valozhyn,1995,1,412,665418.0,480,
t05_c0,c-vasilevichy,1995,1,313,428912.0,404,
t05_c0,c-vaukavysk,1995,1,1306,2735805.0,1000,
t05_c0,c-viciebsk,1995,1,1437,3863530.0,588,
t05_c0,c-vietka,1995,1,432,841555.0,318,
t05_c0,c-vilejka,1995,1,846,1794851.0,592,
t05_c0,c-zaslauje,1995,1,297,776357.0,196,
t05_c0,c-zhabinka,1995,1,430,816519.0,472,
t05_c0,c-zhlobin,1995,1,1689,4009666.0,994,
t05_c0,c-zhodzina,1995,1,974,2321371.0,806,
